,Title,Genre,Production,Actor,Producer,Rate,Rate_percent,Imdb
227,دامادی به نام صفر,کمدی - خانوادگی,1389,"['یوسف تیموری', 'احمد پورمخبر', 'سحر ولدبیگی', 'رامین ناصرنصیر', 'مهران رجبی', 'عباس محبوب']",فرشاد ارج,440,79%,
228,جنایت,خانوادگی - اجتماعی,1382,"['جمشید هاشم پور', 'میترا حجار', 'شهرام حقیقت دوست', 'مهدی میامی', 'امیر جعفری', 'میرمحمد تجدد']",محمدعلی سجادی,263,82%,
229,بابای اجباری,کمدی - خانوادگی,1388,"['حمید لولایی', 'شیرین بینا', 'رابعه اسکویی', 'یوسف صیادی', 'امیر نوری', 'احمد پورمخبر', 'کیانوش گرامی']",عباس مرادیان,1289,91%,
230,درباره الی (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1387,"['ترانه علیدوستی', 'گلشیفته فراهانی', 'شهاب حسینی', 'مریلا زارعی', 'مانی حقیقی', 'پیمان معادی', 'رعنا آزادی ور', 'احمد مهرانفر', 'صابر ابر']",اصغر فرهادی,234,91%,8.0
231,چهار انگشت (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1397,"['امیر جعفری', 'جواد عزتی', 'مونا فرجاد', 'ماییداوی وییز', 'پیمان قاسم خانی']",حامد محمدی,123,79%,3.5
232,شبی که ماه کامل شد (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1397,"['الناز شاکردوست', 'هوتن شکیبا', 'فرشته صدر عرفایی', 'پدرام شریفی', 'امین میری', 'فرید سجادی حسینی', 'شبنم مقدمی', 'آرمین رحیمیان']",نرگس آبیار,80,89%,6.8
233,زخم کاری,اکشن - پلیسی معمایی,1399,"['محمد حاتمی', 'امیر سماواتی', 'علیرضا ساوه درودی', 'مجتبی فلاحی', 'بیتا بیگی']",محمد حمزه ای,3190,86%,
234,لارو,اکشن - پلیسی معمایی,1399,"['رضا اخلاقی راد', 'الهام نامی', 'داریوش اشرفی', 'پوریا رستمی', 'امیر پیکاک', 'فرید قبادی', 'احسان امانی']",علیرضا نسایی,1728,82%,
235,چهل و هفت,خانوادگی - اجتماعی,1396,"['لادن مستوفی', 'حمیدرضا آذرنگ', 'شقایق فراهانی', 'ریما رامین فر', 'محمدرضا غفاری', 'مهدی احمدی']",علیرضا عطاالله تبریزی,11125,69%,
236,مهریه,کمدی - خانوادگی,1397,"['رضا داوودنژاد', 'حدیث فولادوند', 'رامبد شکرآبی', 'مهران رجبی', 'سارا منجزی']",امیرحسین ماکویی,2339,69%,7.9
237,ما همه با هم هستیم (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1398,"['مهران مدیری', 'لیلا حاتمی', 'پژمان جمشیدی', 'جواد عزتی', 'مهران غفوریان', 'محمدرضا گلزار', 'ویشکا آسایش', 'سروش صحت', 'مانی حقیقی', 'هانیه توسلی', 'حسن معجونی']",کمال تبریزی,473,58%,4.2
238,روسی (با زیرنویس مخصوص ناشنوایان),خانوادگی - عاشقانه,1396,"['امیرحسین ثقفی', 'امیر آقایی', 'طناز طباطبایی', 'صابر ابر', 'محمود نظرعلیان', 'حسین مسلمی', 'میثم طاهری', 'بهمن صادق حسنی', 'میلاد کی مرام', 'سپیده گلچین']",امیرحسین ثقفی,285,46%,3.2
239,خفه گی (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1396,"['نوید محمدزاده', 'الناز شاکردوست', 'پردیس احمدیه', 'غلامحسین لطفی', 'احسان امانی', 'اسدالله یکتا', 'ماهایا پطروسیان', 'پولاد کیمیایی']",فریدون جیرانی,173,71%,5.4
240,پرویز (با زیرنویس مخصوص ناشنوایان),اکشن - پلیسی معمایی,1391,"['لوون هفتوان', 'محمود بهروزیان', 'علی رامز', 'ابوذر فرهادی', 'مهدی شیردل']",مجید برزگر,112,79%,7.2
241,آذر، شهدخت، پرویز و دیگران (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1392,"['مهدی فخیم زاده', 'گوهر خیراندیش', 'مرجان شیرمحمدی', 'رامبد جوان', 'مانی حقیقی', 'نعیمه نظام دوست', 'شهین تسلیمی', 'ناهید مسلمی']",بهروز افخمی,268,86%,4.7
242,دوست قدیمی,مستند - بیوگرافی,1397,,سالار بی باک,26,73%,
243,سکوت خبری,خانوادگی - اجتماعی,1397,"['وحید نعمتی', 'آیدا مویدی', 'محمد فراهانی', 'میلاد دلان', 'شیما پروهان']",وحید نعمتی,4344,77%,
244,فانوس اوفا,مستند - بیوگرافی,1396,,مرتضی اسفندیاری,17,63%,
245,تا انتها حضور,مستند - اجتماعی,1399,,محمد صادق اسماعیلی,58,81%,
246,خون و نفت,مستند,1399,,مصطفی شوقی,167,87%,
247,استقامت کن,مستند,1398,,سینا سروش,28,78%,
248,پاپ (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1392,"['حدیث چهره پرداز', 'مرضیه بردک نیا', 'غلامرضا فرج زاده', 'توماج پورمراد']",احسان عبدی پور,27,83%,6.8
249,مسخره باز (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1397,"['علی نصیریان', 'صابر ابر', 'بابک حمیدیان', 'رضا کیانیان', 'داریوش موفق', 'هدیه تهرانی']",همایون غنی زاده,250,68%,6.4
250,معکوس (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1396,"['بابک حمیدیان', 'علیرضا کمالی', 'لیلا زارع', 'شهرام حقیقت دوست', 'اکبر زنجانپور']",پولاد کیمیایی,45,77%,4.9
251,در دنیای تو ساعت چند است (با زیرنویس مخصوص ناشنوایان),خانوادگی - عاشقانه,1394,"['لیلا حاتمی', 'علی مصفا', 'زری خوشکام']",صفی یزدانیان,399,83%,7.1
252,سید رضا,مستند - اجتماعی,1395,,سازمان هنری رسانه ای اوج,83,84%,
253,اختراع آقاجون,خانوادگی - کودک,1392,"['هوشنگ حریرچیان', 'مهدی باقربیگی', 'آرمان صرامی', 'زهره فوده', 'بیژن رافعی', 'مرتضی حسینی', 'کیارش کامیاب']",میلاد جرموز,983,83%,
254,ماهرخ,خانوادگی - اجتماعی,1394,"['مهدی مقدم', 'نیلوفر شهیدی', 'آشا محرابی', 'محمود مقامی', 'مینا نوروزی', 'سیامک اشعریون', 'هما خاکپاش', 'لعیا میر نصیری']",اصغر نصیری,174,66%,
255,کاغذ پر ماجرا,خانوادگی - اجتماعی,1392,"['مهدی امینی خواه', 'امیر غفارمنش', 'شهرزاد عبدالمجید', 'عباس جمشیدی فر', 'اسدالله یکتا', 'یوسف قربانی', 'پروین میکده']",علی میری رامشه,149,69%,
256,نفس خوار,مستند - اجتماعی,1399,,سید محمد محمدی سرشت,63,81%,
257,کاغذ کاهی,مستند - اجتماعی,1398,,سازمان هنری رسانه ای اوج,81,91%,
258,نسل کشی,مستند - اجتماعی,1399,,سازمان هنری رسانه ای اوج,149,78%,
259,کربال,مستند - اجتماعی,1398,,سازمان هنری رسانه ای اوج,87,93%,
260,زمین میلرزد,مستند - سیاسی تاریخی,1397,,سازمان هنری رسانه ای اوج,34,67%,
261,بهت (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1396,"['مهتاب کرامتی', 'رعنا آزادی ور', 'علیرضا آقاخانی', 'محمدرضا رهبری']",عباس رافعی,65,70%,4.7
262,به وقت شام (با زیرنویس مخصوص ناشنوایان),اکشن - جنگی,1396,"['بابک حمیدیان', 'هادی حجازی فر', 'لاله مرزبان', 'پیر داغر', 'رامی عطاالله', 'جوزیف سلامه', 'قدرت الله بیات']",ابراهیم حاتمی کیا,375,92%,5.5
263,داشتن یا نداشتن,مستند - پژوهشی,1378,,نیکی کریمی,1000,85%,
264,سوت پایان,خانوادگی - اجتماعی,1389,"['شهاب حسینی', 'نیکی کریمی', 'مصطفی زمانی', 'اشکان خطیبی', 'هستی مهدوی فر', 'نادر فلاح', 'آتیلا پسیانی']",نیکی کریمی,749,70%,4.9
265,چشم سوم,اکشن - پلیسی معمایی,1399,"['عطا عمرانی', 'پیام دهکردی', 'مصطفی قدیری', 'حمید رضا فراهانی', 'کامبیز بنان']",رضا دادویی,1476,70%,
266,مسلوب,خانوادگی - اجتماعی,1399,"['کوروش سلیمانی', 'محمدرضا رهبری', 'محمود مقامی', 'رضا شریف نژاد', 'امیر روشن پور', 'ایمان اسماعیلی']",عادل تبریزی,1092,79%,
267,دختر الهام,خانوادگی - اجتماعی,1399,"['میلیشیا مهدی نژاد', 'مرتضی حسنلو', 'محیا صدرزاده', 'ایران مسعودی', 'خیام وقار', 'سوگند صدیقی', 'فاطمه سلطانی نسب']",دانش اقباشاوی,2086,79%,
268,باتلاق وان,مستند - اجتماعی,1395,['رز رضوی'],مهدی گلستانیان,1529,82%,
269,زن ها فرشته اند 2 - پشت صحنه,کمدی - خانوادگی,1398,"['محمدرضا شریفی نیا', 'علی صادقی', 'نیوشا ضیغمی', 'سحر قریشی', 'نسرین مقانلو', 'میرطاهر مظلومی', 'سیروس همتی', 'مریم سعادت', 'مهتاج نجومی', 'شهین تسلیمی', 'صدیقه کیانفر']",آرش معیریان,2685,87%,
270,سازهای ناکوک,خانوادگی - اجتماعی,1398,"['هنگامه قاضیانی', 'غزل شاکری', 'حامد کمیلی', 'مرتضی ضرابی', 'احمد عربانی']",علی حضرتی,7130,62%,
271,لونه زنبور (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1396,"['محسن کیایی', 'پژمان جمشیدی', 'هومن برق نورد', 'بهاره کیان افشار', 'پیام احمدی نیا', 'رعنا آزادی ور', 'فرید سجادی حسینی']",برزو نیک نژاد,247,90%,4.7
272,ما اهل کوفه هستیم,تاریخی,1399,,میلاد امینی موحد,684,80%,
273,زمان حسین,مستند - اجتماعی,1399,,میلاد امینی موحد,301,67%,
274,روزهای نارنجی,خانوادگی - اجتماعی,1396,"['هدیه تهرانی', 'علی مصفا', 'مهران احمدی', 'علیرضا استادی', 'ژیلا شاهی', 'صدف عسگری']",آرش لاهوتی,19116,82%,5.9
275,خوب، بد، جلف 2: ارتش سری (با زیرنویس مخصوص ناشنوایان),کمدی - اکشن,1398,"['سام درخشانی', 'پژمان جمشیدی', 'حامد کمیلی', 'ریحانه پارسا', 'فرهاد آئیش', 'گوهر خیراندیش', 'علی اوجی']",پیمان قاسم خانی,1038,86%,
276,کشتارگاه (با زیرنویس مخصوص ناشنوایان),خانوادگی - اجتماعی,1398,"['امیرحسین فتحی', 'مانی حقیقی', 'باران کوثری', 'حسن پورشیرازی']",عباس امینی,197,82%,5.7
277,اکسیدان (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1395,"['جواد عزتی', 'امیر جعفری', 'شبنم مقدمی', 'شقایق دهقان', 'رضا بهبودی', 'لیندا کیانی']",حامد محمدی,165,86%,5.3
278,کاتیوشا (با زیرنویس مخصوص ناشنوایان),کمدی - خانوادگی,1396,"['هادی حجازی فر', 'احمد مهرانفر', 'لیلا اوتادی', 'میترا حجار', 'بیژن بنفشه خواه', 'ارژنگ امیرفضلی']",علی عطشانی,332,87%,4.2
279,ماجرای نیمروز 2 : رد خون (با زیرنویس مخصوص ناشنوایان),اکشن - ماجراجویی,1397,"['محسن کیایی', 'بهنوش طباطبایی', 'جواد عزتی', 'هادی حجازی فر', 'هستی مهدوی فر', 'مهدی زمین پرداز', 'حسین مهری', 'امیرحسین هاشمی']",محمدحسین مهدویان,302,90%,6.4
