,Title,Genre,Production,Actor,Producer,Rate,Rate_percent,Imdb
0,هفته ای یک بار آدم باش,خانوادگی - کمدی,1399,"['پژمان جمشیدی', 'رعنا آزادی ور', 'ساغر قناعت', 'علیرضا استادی', 'شیرین یزدان بخش', 'هوشنگ رادی پور', 'پژمان بازغی']",شهرام شاه حسینی,,به زودی,اکران آنلاین
1,خورشید هر روز از قرقی طلوع می کند,مستند - اجتماعی,1400,,یحیی آزادی,12,85%,
2,بچه خور,فیلم کوتاه,1397,"['علیرضا حکیمی', 'علیرضا مهران', 'فرحانه سبحانی', 'علی بحری', 'بهرام ابراهیمی']",محمد کارت,12482,91%,
3,یک کار نیمه مردانه,مستند - اجتماعی,1400,,مسعود کارگر,41,92%,
4,فیلیموشات: محمدحسین مهدویان,تاک شو - هاردتاک,1400,,,922,92%,
5,بوتاکس,خانوادگی - اجتماعی,1398,"['سوسن پرور', 'مهدخت مولایی', 'سروش سعیدی', 'مرتضی خانجانی', 'محسن کیانی']",کاوه مظاهری,4634,48%,4.9
6,هرماس,خانوادگی - اجتماعی,1399,"['برزو ارجمند', 'شیدا خلیق', 'علیرام نورایی', 'فریبا کوثری', 'شبنم قلی خانی', 'بهنوش بختیاری', 'مریم بوبانی', 'رضا رویگری', 'علی باقری']",مهدی صاحبی,1035,اکران آنلاین,68%
7,پری سا,خانوادگی - اجتماعی,1399,"['عباس غزالی', 'بهاره افشاری', 'ترلان پروانه', 'شقایق فراهانی', 'حمید گودرزی', 'مارال فرجاد', 'صحرا اسدالهی']",محمدرضا رحمانی,7338,65%,
8,از رئیس جمهور پاداش نگیرید,خانوادگی - کمدی,1387,"['حسن معجونی', 'آتیلا پسیانی', 'آشا محرابی', 'بهمن زرین پور', 'صابر ابر', 'اصغر نقی زاده', 'رضا بهبودی', 'احمد آقالو']",کمال تبریزی,4311,67%,2.9
9,قیصر، چهل سال بعد - پشت صحنه,مستند - بیوگرافی,1388,,مسعود نجفی,77,88%,
10,قیصر، چهل سال بعد,مستند - بیوگرافی,1388,,مسعود نجفی,1367,94%,
11,تکخال - پشت صحنه,کمدی - خانوادگی,1399,"['پوریا پورسرخ', 'سحر قریشی', 'سحر قریشی', 'شبنم قلی خانی', 'یوسف تیموری', 'امیر کربلایی زاده']",مجید مافی,794,88%,
12,گزارش آشوب,مستند - اجتماعی,1398,,محمدرضا گیوه چیان,63,81%,
13,فالکن,مستند - اجتماعی,1400,,سید صالح پور یزدان پرست,75,91%,
14,شبیخون غیور اصلی,مستند - اجتماعی,1400,,محسن قیصری,40,92%,
15,دستمال سرخها,مستند - اجتماعی,1397,,حنظله تاج الدینی,35,87%,
16,دریا موج کاکا,خانوادگی - اجتماعی,1399,"['مهران احمدی', 'حسین محجوب', 'شیفته خرم دل', 'فرید سماواتی', 'رضا اکبرپور', 'رؤیا افشار']",علی سرآهنگ,7691,76%,
17,قرارمون پارک شهر,خانوادگی - اجتماعی,1395,"['شقایق فراهانی', 'امین زندگانی', 'ماه چهره خلیلی', 'سام نوری', 'نرگس محمدی', 'افسر اسدی', 'سیاوش طهمورث', 'امید روحانی', 'شیوا خسرومهر', 'مریم کاویانی', 'محمدرضا شریفی نیا']",فلورا سام,9873,89%,
18,کنار گود,مستند - ورزشی,1397,"['حسن یزدانی', 'همت مسلمی']",تورج کلانتری,31,90%,
19,خانه کابل,مستند - اجتماعی,1399,,مسعود کارگر,73,96%,
20,گورکن,خانوادگی - اجتماعی,1398,"['ویشکا آسایش', 'حسن معجونی', 'مهراوه شریفی نیا', 'گوهر خیراندیش', 'بهنوش بختیاری', 'رضا بهبودی', 'سیاوش چراغی پور', 'مهدی حسینی نیا', 'محمود نظرعلیان', 'یدالله شادمانی', 'حمیدرضا محمدی', 'ندا دهشیری']",کاظم ملایی,12654,71%,5.9
21,بیست سال,مستند - سیاسی تاریخی,1400,,وحید فراهانی,171,90%,
22,خون شد,خانوادگی - اجتماعی,1398,"['سعید آقاخانی', 'نسرین مقانلو', 'سیامک صفری', 'لیلا زارع', 'هومن برق نورد', 'اکبر معززی', 'سیامک انصاری', 'مریم عباس زاده', 'اردشیر احمدی']",مسعود کیمیایی,7911,63%,4.2
23,کما - پشت صحنه,خانوادگی - کمدی,1382,"['امین حیایی', 'محمدرضا گلزار', 'حدیث فولادوند', 'آتیلا پسیانی', 'مهناز افشار', 'اصغر آشوری', 'بهناز حوری']",آرش معیریان,60,94%,
24,مهمان - پشت صحنه,کمدی - خانوادگی,1386,"['امین حیایی', 'محمدرضا شریفی نیا', 'شقایق فراهانی', 'حسام نواب صفوی', 'مریم امیرجلالی', 'پوریا پورسرخ']",سعید اسدی,38,96%,
25,عطش - پشت صحنه,اکشن - ماجراجویی,1381,"['بهرام رادان', 'فریبرز عرب نیا', 'شهرام حقیقت دوست', 'شبنم قلی خانی', 'ساغر عزیزی', 'طیب شرافتی']",محمدحسین فرح بخش,22,93%,5.2
26,دو روی سکه - پشت صحنه,خانوادگی - اجتماعی,1371,"['ابوالفضل پورعرب', 'سید احمد مهدوی مرندی هاشمی', 'لیلا مصدقی', 'مرتضی ضرابی', 'نادیا دلدارگلچین']",محمد متوسلانی,7,78%,3.4
27,پاک باخته - پشت صحنه,کمدی - خانوادگی,1373,"['علیرضا خمسه', 'اکبر عبدی', 'حمیده خیرآبادی', 'پریسا گلدوست', 'پرند زاهدی', 'زهره صفوی']",غلامحسین لطفی,26,94%,5.7
28,زخمی - پشت صحنه,اکشن - هیجان انگیز,1376,"['جمشید هاشم پور', 'افسانه بایگان', 'محمد صادقی', 'جلال پیشواییان']",كامران قدكچیان,24,80%,4.3
29,عقرب - پشت صحنه,اکشن - پلیسی معمایی,1375,"['جمشید هاشم پور', 'محمد صالح علا', 'آتیلا پسیانی', 'حسن رضایی', 'کاظم هژیرآزاد', 'رفیع مددكار', 'شهرام زرگر', 'مینا فرامرزی']",بهروز افخمی,24,87%,5.4
30,بهشت پنهان - پشت صحنه,خانوادگی - اجتماعی,1373,"['ابوالفضل پورعرب', 'فاطمه گودرزی', 'حسین فلاح', 'شهریار پارسی پور']",کامران قدکچیان,7,89%,
31,مستانه - پشت صحنه,خانوادگی - اجتماعی,1393,"['سحر دولتشاهی', 'باران کوثری', 'فرهاد اصلانی', 'آتیلا پسیانی', 'میلاد کی مرام', 'محمد متوسلانی']",محمدحسین فرح بخش,26,85%,5.2
32,هزار سال با تو - پشت صحنه,خانوادگی - اجتماعی,1398,"['رز رضوی', 'سام کرمی', 'سولماز حصاری', 'مجید مشیری', 'نیما شاهرخ شاهی', 'مهران رجبی', 'شهین تسلیمی']",احمد مقامی,65,70%,
33,هزار سال با تو,خانوادگی - عاشقانه,1398,"['رز رضوی', 'سام کرمی', 'سولماز حصاری', 'مجید مشیری', 'نیما شاهرخ شاهی', 'مهران رجبی', 'شهین تسلیمی']",احمد مقامی,3546,54%,
34,ممیرو,خانوادگی - اجتماعی,1394,"['یدالله شادمانی', 'میثم فرهومند', 'فاطمه بهاد']",هادی محقق,191,69%,
35,ایرو,خانوادگی - اجتماعی,1397,"['حمدالله عزیزی', 'محمد آذرخش', 'مهیار آبروان', 'حسین قزلباش']",هادی محقق,69,71%,
36,تکخال,کمدی - خانوادگی,1399,"['پوریا پورسرخ', 'سحر قریشی', 'شبنم قلی خانی', 'یوسف تیموری', 'امیر کربلایی زاده']",مجید مافی,26795,79%,
37,دیوانگی,مستند - اجتماعی,1397,,صدرا علی بک,507,91%,
38,امتحان,مستند - سیاسی تاریخی,1400,,سجاد ریاحی,410,78%,
39,بوی عطر مردانه,خانوادگی - اجتماعی,1398,"['علیرضا جلالی تبار', 'یوسف صیادی', 'مهران رجبی', 'مینا نوروزی', 'غلامرضا اصانلو', 'بهناز سلیمانی']",ندا غفاری,282,60%,
40,قایقران,خانوادگی - اجتماعی,1399,"['شقایق فراهانی', 'نگین صدق گویا', 'غزاله جزایری', 'محمد اسدنیا']",محمد اسدنیا,925,36%,
41,تروکاژ,مستند - اجتماعی,1399,,احسان شادمانی,93,87%,
42,بی عنوان,خانوادگی - اجتماعی,1391,"['امین زندگانی', 'نگین معتضدی', 'عباس غزالی', 'رامین ناصرنصیر', 'شهرزاد کمال زاده', 'رضا رویگری', 'مریم کاویانی']",ارد درویش,2449,43%,
43,آن روز - پشت صحنه 23 نفر,خانوادگی - اجتماعی,1397,,,339,90%,
44,تماس بی پاسخ,خانوادگی - اجتماعی,1399,"['سید میلاد جلالی', 'عاطفه محمدی', 'سامان خسروی', 'سحر آزادی', 'هادی کیان نیا', 'شهاب نجفی زاده']",هادی کیان نیا,1139,52%,
45,نگین سلیمانی,فیلم کوتاه - داستانی,1400,,محمدامین امامی,380,84%,
46,چشم سوم,مستند - اجتماعی,1398,,محمدباقر شاهین,13,76%,
47,نائب الامام,مستند - اجتماعی,1399,,محمدعلی یزدانی,66,76%,
48,دور خدا بچرخ,مستند - اجتماعی,1395,,جواد یقموری,64,40%,
49,پیاده روهای واراژدین,مستند - ورزشی,1385,"['برانکو ایوانکوویچ', 'رضا چلنگر']",میلاد صدرعاملی,9,74%,
50,پیشخدمت,خانوادگی - اجتماعی,1386,"['مهدیه اکرمی', 'هما مکرمی', 'الهام معارفی', 'الهه فروزش']",سید محمدرضا رئیسی,282,73%,
51,تب عشق,خانوادگی - اجتماعی,1384,"['کاظم افرندنیا', 'لیلا بوشهری', 'فاطمه طاهری', 'عباس غزالی', 'خاتون یزدانی']",علیرضا حاجی زاده,127,64%,
52,برای تمام فصول: عزت الله انتظامی,مستند - بیوگرافی,1388,"['علی نصیریان', 'جعفر والی', 'مسعود جعفری جوزانی', 'علیرضا شجاع نوری', 'حسن هدایت', 'رضا رویگری', 'مجید مظفری', 'مهتاب کرامتی', 'فرهاد اصلانی', 'صابر ابر']",آراد حسن زاده,26,88%,
53,پرنده ی افلاک: زندگی شهید سید علی اقبالی,مستند - بیوگرافی,1395,,سهیلا پورمحمدی,13,88%,
54,پنجاه روز التهاب,خانوادگی - اجتماعی,1372,"['پردیس افكاری', 'حسن رجبیان', 'مهدی لنجانیان', 'ابوالفضل قبادی', 'صدیقه کیانفر']",کریم آتشی,103,77%,
55,ناخوانده در شهر,مستند - اجتماعی,1399,,مهدی مطهر,17,86%,
56,روزگار غار,مستند - اجتماعی,1398,,مرتضی منشی,109,95%,
57,حرفه ای ها,فیلم تئاتر - کمدی,1383,,,107,83%,
58,دارالمجانین,خانوادگی - اجتماعی,1387,"['نیما رئیسی', 'غزل صارمی', 'کیانوش گرامی', 'عبدالله صفدری', 'مرتضی آقاحسینی', 'رضا سخایی']",امین فرج پور,21,55%,
59,پوست زیبا,مستند - پژوهشی,1383,"['پریسا شهبازی', 'مریم ابراهیمی', 'مهتا راحلی']",سهیل سریزدی,4,60%,
60,گل یا پوچ,خانوادگی - اجتماعی,1384,"['نوید رئیسی', 'سکینه آزادی', 'وحید خدیر', 'جمیله بلوچی', 'محسن میرزاخانی']",ابوالفضل جلیلی,42,79%,
61,گپ,مستند - پژوهشی,1384,,نیما تارخ,5,52%,
62,مساحت زندگی,مستند - بیوگرافی,1392,"['پگاه آهنگرانی', 'بهرام بدخشانی', 'رخشان بنی اعتماد', 'کامبوزیا پرتوی', 'کیومرث پوراحمد', 'فریدون جیرانی', 'منیژه حکمت']",میلاد صدرعاملی,7,66%,
63,مسافران بهشت,خانوادگی - اجتماعی,1387,"['کامران تفتی', 'سحر قریشی', 'رامین راستاد', 'سوگل طهماسبی', 'حمیدرضا هدایتی', 'بهزاد رحیم خانی', 'صدیقه کیانفر']",جواد مزدآبادی,114,86%,
64,کنسرت تلفیقی : عماد بنکدار,کنسرت,1382,"['عماد بنکدار', 'رضا آبائی', 'احسان فرامرزی', 'همایون نصیری']",سینا احمدی,28,80%,
65,کنسرت موسیقی آذربایجانی : ودود موذن,کنسرت,1384,"['فرهاد فرجلی', 'عسگر صفایی', 'مهدی دانشور']",ودود موذن,39,84%,
66,گوزن,خانوادگی - اجتماعی,1389,"['سعیده عرب', 'محمد ابهری', 'کیانوش گرامی', 'گیتی معینی', 'علی اصغر طبسی', 'بهناز سلیمانی']",سید محمدرضا رئیسی,51,71%,
67,پیدا و پنهان,خانوادگی - اجتماعی,1391,"['فرامرز قریبیان', 'امیرحسین آرمان', 'کوروش سلیمانی', 'سهیل فدایی', 'حمیدرضا مولانا', 'احمد ساعتچیان', 'ایمان امیدواری']",آرش معیریان,75,66%,
68,گال,خانوادگی - اجتماعی,1365,"['مهدی اسدی', 'اصغر گلمحمدی', 'حسین معلومی', 'حسین پناهی']",ابوالفضل جلیلی,28,78%,
69,ملک خاتون,خانوادگی - اجتماعی,1369,,,388,89%,
70,در انتظار شیطان,خانوادگی - اجتماعی,1366,"['ماشاالله افراشته', 'مرتضی احمدی', 'حسن دلشاد', 'اکبر دودکار', 'حسین صفاریان']",حمید الدین صفایی,33,79%,
71,تیتراژ در سینمای ایران,مستند - پژوهشی,1397,"['اصغر فرهادی', 'حامد بهداد']",مهرشاد کارخانی,61,89%,
72,سوز گلاویژ,1395 - ایران,,"['علی سلیمانی', 'حسن اسدی', 'ابوالفضل حاجی علیخانی', 'محمد ساربان', 'ابراهیم مرادی', 'مجتبی قلندرکی']",یاسمن نصرتی,64,87%,
73,سینمای خانگی,مستند - پژوهشی,1383,,بیژن میرباقری,4,60%,
74,دره ارغوان,مستند - پژوهشی,1386,,رضا برجی,4,60%,
75,دو سرنوشت,خانوادگی - اجتماعی,1368,,,95,85%,
76,درباره آمنه : گزارش یک اسیدپاشی,مستند - پژوهشی,1387,"['رضا کیانیان', 'بهنوش بختیاری', 'نیوشا ضیغمی', 'امیرحسین مدرس', 'نیما شاهرخ شاهی', 'تهمینه میلانی', 'پوران درخشنده', 'هانیه توسلی']",محمود مهدی خانی,79,92%,
77,شیوه شاغلام: غلامحسین پیروانی,مستند - بیوگرافی,1388,['غلامحسین پیروانی'],امید عبدالهی,44,89%,
78,لمس مرگ,مستند - اجتماعی,1400,,فرشاد یحیایی,340,94%,
79,مسیر نو,مستند - اجتماعی,1396,,وحید فرجی,1,20%,
80,مسعود کیمیایی: زندگی و آثار,مستند - بیوگرافی,1385,"['علی معلم', 'حمید نعمت الله', 'سامان مقدم', 'مهدی کرم پور', 'پرویز شهبازی', 'شهرام مکری']",رضا ملکی,47,89%,
81,باد سرخ,خانوادگی - اجتماعی,1367,"['حسین احمدی نسب', 'جهانگیر الماسی', 'فیروز بهجت محمدی', 'حسین کسبیان', 'ایران بزرگمهر']",,49,76%,
82,مرزداران,فیلم تئاتر - خانوادگی,1397,"['مهدی بازدار', 'شاهو رستمی', 'سپهر زمانی', 'حامد مهراندیش', 'پیمان صفرزاده', 'امیر کامران']",,45,67%,
83,بلافیگورا,فیلم تئاتر - کمدی,1397,"['صحرا اسدالهی', 'سپند امیرسلیمانی', 'بهاره رهنما', 'نگار عابدی', 'محمد نادری']",یاسمینا رضا,1057,62%,
84,سرآشپز پیشنهاد می کند,فیلم تئاتر - کمدی,1397,"['شهرام قائدی', 'رامین ناصرنصیر', 'آرش فلاحت پیشه', 'مهدی فریضه']",شهاب الدین حسین پور,653,86%,
85,طپانچه خانم,فیلم تئاتر - کمدی,1396,"['مارال فرجاد', 'آرش فلاحت پیشه', 'محمد نادری', 'ندا مقصودی', 'گیلدا حمیدی', 'غزاله جزایری', 'سعیده آغویی']",شهاب الدین حسین پور,190,71%,
86,موسیو ابراهیم,فیلم تئاتر - خانوادگی,1395,"['رضا مولایی', 'اشکان خطیبی']",علیرضا کوشک جلالی,308,94%,
87,ازدواج آقای می سی سی پی,فیلم تئاتر - کمدی,1394,"['محمدصادق ملک', 'آرش فلاحت پیشه', 'آرزو نبوت', 'محمدرضا مالکی', 'سیدجواد حسینی']",فریدریش دورنمات,151,76%,
88,خورشید,خانوادگی - اجتماعی,1398,"['علی نصیریان', 'جواد عزتی', 'طناز طباطبایی', 'روح الله زمانی', 'صفر محمدی', 'علی تقوا زاده']",مجید مجیدی,43888,92%,7.2
89,شنای پروانه,خانوادگی - اجتماعی,1398,"['امیر آقایی', 'جواد عزتی', 'طناز طباطبایی', 'مه لقا باقری', 'پانته آ بهرام', 'علی شادمان']",محمد کارت,94591,96%,7.7
90,دعوت - قصه ریحانه,کمدی - خانوادگی,1387,"['پژمان بازغی', 'لیلا اوتادی', 'امید روحانی', 'نگین صدق گویا', 'مهتاب کرامتی']",ابراهیم حاتمی کیا,5312,76%,5.2
91,یک مسئله ساده,خانوادگی - اجتماعی,1398,"['زهرا برومند', 'نازنین ایمان', 'عباس سهراب', 'ندا حبیبی', 'احمد شریفی فرد', 'سعید برجعلی', 'سپیده دهقان', 'ملیحه ظهیریان', 'ایمان امتیازی پور', 'محدثه عدالت فر']",اسماعیل عظیمی,525,65%,
92,یک لحظه لبخند,خانوادگی - اجتماعی,1399,"['هستی حدیدی', 'فرشته نوید']",مهدی لطفی,291,74%,
93,شهر مهتابی,خانوادگی - اجتماعی,1398,,,247,74%,
94,ساعت شلوغی,خانوادگی - اجتماعی,1390,"['شاهرخ استخری', 'سحر قریشی', 'پژمان بازغی', 'نرگس محمدی', 'زهره حمیدی']",آرش معیریان,832,83%,
95,شاخه گلی برای عروس,کمدی - عاشقانه,1383,"['سیدجواد رضویان', 'مجید صالحی', 'حدیث فولادوند', 'رابعه اسکویی', 'حدیث فولادوند', 'مهدی امینی خواه']",قدرت الله صلح میرزایی,2355,94%,3.7
96,آبادان یازده 60,اکشن - جنگی,1398,"['علیرضا کمالی', 'حسن معجونی', 'شبنم گودرزی', 'حمیدرضا محمدی', 'ویدا جوان', 'نادر سلیمانی']",مهرداد خوشبخت,11904,95%,6.3
97,کلاهی برای باران,کمدی - خانوادگی,1385,"['رضا عطاران', 'سیدجواد رضویان', 'حدیث فولادوند', 'مهران غفوریان', 'مهران رجبی', 'زهره حمیدی', 'فتحعلی اویسی']",مسعود نوابی,1622,93%,
98,زیر نور کم,خانوادگی - اجتماعی,1399,"['لیلا زارع', 'صابر ابر', 'حمیدرضا آذرنگ', 'بهناز جعفری', 'تیرداد کیایی', 'بیتا بادران']",محمد پرویزی,7459,44%,
99,دیدن این فیلم جرم است,خانوادگی - اجتماعی,1397,"['مهدی زمین پرداز', 'امیر آقایی', 'لیندا کیانی', 'حسین پاکدل', 'حمیدرضا پگاه', 'محمود پاک نیت']",رضا زهتابچیان,52538,91%,
100,آقای سانسور,کمدی - خانوادگی,1398,"['محمدرضا فروتن', 'بهرام افشاری', 'بهاره رهنما', 'بهنوش بختیاری', 'محمود پاک نیت', 'آریانا مثنوی', 'امید روحانی', 'علی مثنوی', 'گیتی قاسمی', 'امیر کربلایی زاده', 'صحرا اسدالهی', 'امیراشکان مثنوی', 'علی برقی']",علی جبارزاده,29360,76%,
101,پیشی میشی,کمدی - خانوادگی,1398,"['بهاره رهنما', 'رضا شفیعی جم', 'نفیسه روشن', 'ارژنگ امیرفضلی', 'علی کاظمی', 'ساعد هدایتی', 'محمد شیری', 'یوسف صیادی', 'صدیقه کیانفر']",حسین قناعت,23904,88%,
102,چرا سوریه,مستند - سیاسی تاریخی,1398,,وحید فراهانی,496,88%,
103,یاران غار,مستند - سیاسی تاریخی,1396,,,87,79%,
104,کنسرت حسام الدین سراج,کنسرت,1396,,,177,88%,
105,قزل قیه,مستند - اجتماعی,1399,,سیامک مختاری,68,96%,
106,نوزده نوزده,مستند - سیاسی تاریخی,1399,,مهدی صلواتچی,363,86%,
107,آفتاب، لبه های بام,خانوادگی - اجتماعی,1391,"['فرشته صدر عرفایی', 'مهین نظری', 'یاغوش عمارلو', 'محمود بهروزیان', 'میترا کمالیان']",علی صداقت کریمی,1872,65%,
108,نازی آبادی ها,مستند - سیاسی تاریخی,1397,,مجتبی محمودی,57,88%,
109,مردی با سلاح کلمات,مستند - سیاسی تاریخی,1396,,حسین احمدی,36,78%,
110,ما همه کارگردانیم,مستند - اجتماعی,1399,,سیدجمال عود سیمین,23,83%,
111,سایه های روشن,مستند - سیاسی تاریخی,1397,,حسین نشاطی,7,66%,
112,پیرمرد و خواننده,مستند - سیاسی تاریخی,1396,,امیر اصانلو,7,55%,
113,از عدلیه تا مشروطه,مستند - سیاسی تاریخی,1396,,مهدی فرقانی,26,67%,
114,بیوه های غمگین سالار جنگ,فیلم تئاتر - خانوادگی,1397,"['گلاب آدینه', 'شیرین بینا', 'مونا فرجاد', 'حمید رحیمی']",شهاب الدین حسین پور,187,82%,
115,به مناسبت ورود اشکان,فیلم تئاتر - خانوادگی,1396,"['هومن برق نورد', 'نیما رئیسی', 'خسرو شهراز', 'شمسی صادقی', 'الهه حسینی', 'ویدا جوان', 'آرزو افشار', 'علی امیری']",رضا دادویی,825,87%,
116,خاموشی دریا,فیلم تئاتر - خانوادگی,1397,"['شهرام حقیقت دوست', 'علیرضا آرا', 'خاطره اسدی']",نیما دهقان,243,84%,
117,خرده نان,فیلم تئاتر - خانوادگی,1397,"['رضا بهبودی', 'آناهیتا اقبال نژاد']",کوروش سلیمانی,274,82%,
118,در انتظار آدولف,فیلم تئاتر - خانوادگی,1396,"['اشکان خطیبی', 'آناهیتا درگاهی', 'حسین امیدی', 'آوا شریفی', 'رضا مولایی']",علیرضا کوشک جلالی,1224,93%,
119,روز کارنامه,خانوادگی - اجتماعی,1381,"['مهدی هاشمی', 'متین عزیزپور', 'شهرام قائدی', 'مهران رجبی', 'مجید مشیری']",مسعود کرامتی,106,85%,
120,آقای کیمیایی,مستند - بیوگرافی,1385,,,23,90%,
121,یک زندگی بهتر,فیلم تئاتر - خانوادگی,1396,"['خسرو شهراز', 'شمسی صادقی', 'سارا رسول زاده', 'سامان دارابی']",شهاب الدین حسین پور,208,86%,
122,طناب,فیلم تئاتر - خانوادگی,1397,"['آتیلا پسیانی', 'رامین ناصرنصیر', 'علی شادمان', 'خسرو پسیانی', 'آیناز آذرهوش', 'پگاه کاظمی']",نصیر ملکی جو,575,86%,
123,کلک زرین,مستند - بیوگرافی,1385,,ناهید رضایی,26,79%,
124,مکاشفه با دوربین,مستند - بیوگرافی,1385,,,27,74%,
125,کودکی نیمه تمام,مستند - بیوگرافی,1385,,,58,96%,
126,فیلمبرداران سینمای ایران,مستند - بیوگرافی,1385,,رضا میر کریمی,25,78%,
127,فرمان آرا بودن,مستند - بیوگرافی,1385,,بهمن کیارستمی,144,95%,
128,فرمالیست مکتب اصفهان,مستند - بیوگرافی,1385,,جمشید بهمنی,9,74%,
129,شنیدن تاریخ,مستند - بیوگرافی,1385,,,36,72%,
130,سهم من این است,مستند - بیوگرافی,1385,,,11,64%,
131,زندگی آنجاست,مستند - بیوگرافی,1386,,,102,95%,
132,رکعتان فرالعشق,مستند - بیوگرافی,1385,,,19,75%,
133,رقص با دوربین,مستند - بیوگرافی,1385,,سمیرا سینایی,39,88%,
134,در امتداد سرزمین کهن,مستند - بیوگرافی,1385,,کاوه بهرامی مقدم,15,85%,
135,داستان یک قصه گو,مستند - بیوگرافی,1385,,محمود یارمحمدلو,34,70%,
136,جفت شش,مستند - بیوگرافی,1386,,,96,85%,
137,جریان اصلی,مستند - بیوگرافی,1385,,رضا میر کریمی,77,93%,
138,تصویر کلمات,مستند - بیوگرافی,1388,,,27,89%,
139,تدوین,مستند - بیوگرافی,1385,,,21,89%,
140,بعد از آقا خانم شماره 11,مستند - بیوگرافی,1385,,رضا میرکریمی,86,88%,
141,از تمام دریچه ها,مستند - بیوگرافی,1386,,سعید پوراسماعیلی,31,85%,
142,سرزمین خورشید,اکشن - جنگی,1375,"['خسرو شکیبایی', 'گلچهره سجادیه', 'سعید پورصمیمی', 'محمود پاک نیت', 'محمدرضا مشاک زاده']",احمدرضا درویش,105,87%,
143,افسون معبد سوخته,فیلم تئاتر - خانوادگی,1395,"['پانته آ بهرام', 'حمیدرضا آذرنگ', 'مهدی پاکدل']",کیومرث مرادی,169,85%,
144,مرغ دریایی من,فیلم تئاتر - خانوادگی,1398,"['شبنم مقدمی', 'امیرحسین فتحی', 'زهرا بهروزمنش', 'محمد مسگری']",کیومرث مرادی,472,82%,
145,روایت های ناتمام,خانوادگی - اجتماعی,1385,"['هنگامه قاضیانی', 'ستاره پسیانی', 'نقی سیف جمالی', 'حسین سلیمانی']",پوریا آذربایجانی,308,61%,
146,بغداد 1:20,مستند - سیاسی تاریخی,1399,,سیدامیرحسین ربیع هاشمی,1676,94%,
147,مار,خانوادگی - اجتماعی,1370,"['پرویز پرستویی', 'جلال مقدم', 'فرزانه کابلی', 'بهزاد فراهانی', 'پرستو گلستانی', 'علی هویدائی']",مجید جوانمرد,254,82%,5.7
148,بوسه ای از ابومهدی,مستند - پژوهشی,1399,,وحید فراهانی,1445,83%,
149,سجاده آتش,اکشن - جنگی,1372,"['رضا ایرانمنش', 'علی بوریان', 'حبیب اله حداد', 'عطاالله سلمانیان', 'سیدجواد هاشمی', 'محسن محمدی']",احمد مرادپور,729,92%,
150,ناتمام,فیلم کوتاه - داستانی,1398,"['بیتا عزیزاقلی', 'امید قنبری', 'شیرین جروقی', 'ایمان اصفهانی', 'مهدیس حیدری', 'زهرا افشار']",رضا سلاح ورزی,110,61%,
151,سی پی,فیلم کوتاه - داستانی,1398,"['مریم کاظمی', 'فاطمه موسایی', 'پوریا خلیلی', 'سهیلا نوری', 'سارا پورسرخ']",حامد قاسمی,116,57%,
152,سایه ارغوان,فیلم کوتاه - داستانی,1398,"['مهتاب ثروتی', 'رضا پایرود', 'سیدحامد عربانیان']",سوگل خالقی,383,68%,
153,دووف,فیلم کوتاه - داستانی,1398,"['محمدپارسا شورگشتی', 'باران ایمانی']",مجید صداقت برجی,74,60%,
154,بی تیمار,فیلم کوتاه - داستانی,1399,"['رادین روئین فر', 'نیلوفر ولی پور', 'شقایق فرهاد شیران', 'علی بانگین']",سحر جعفری زاد,268,69%,
155,ابرهای کومولوس,فیلم کوتاه - داستانی,1397,"['امیر باشی', 'میترا شاکی', 'امیرحسین شایگان']",رضا کوه پور,102,70%,
156,مردن در آب مطهر,خانوادگی - عاشقانه,1398,"['علی شادمان', 'ندا جبرائیلی', 'سوگل خلیق', 'علیرضا آرا', 'پیمان مقدمی', 'خیام وقار کاشانی', 'امیررضا رنجبران', 'متین حیدری نیا', 'صدف عسگری']",نوید محمودی,18151,85%,5.6
157,دلداده,کمدی - خانوادگی,1387,"['سیدجواد رضویان', 'مجید صالحی', 'اکبر عبدی', 'الهام حمیدی', 'سحر زکریا', 'مینا جعفرزاده', 'احمد پورمخبر', 'یوسف صیادی', 'نعیمه نظام دوست']",قدرت الله صلح میرزایی,4339,95%,3.9
158,یک چیز بی خاصیت,مستند - اجتماعی,1398,,امین یگانه,89,89%,
159,خودکار,مستند - اجتماعی,1397,,محمد ثقفی,440,97%,
